name,date,significance_en,significance_mr,significance_hi,tips_en,tips_mr,tips_hi
Narak Chaturdashi,2026-11-07,Kartik Krishna Chaturdashi; Lord Krishna defeated the demon Narakasura; the traditional pre-dawn ritual bath with ubtan (sesame-oil-turmeric paste) is followed by lighting 14 diyas; Maharashtrian Faral (festival snack assortment) making reaches its peak today,कार्तिक कृष्ण चतुर्दशी; भगवान श्रीकृष्णाने नरकासुराचा वध केला; पहाटे उटणे (तीळतेल-हळदीचा लेप) लावून अभ्यंगस्नान केले जाते आणि त्यानंतर चौदा दिवे लावले जातात; महाराष्ट्रीय फराळाची तयारी आज शिगेला पोहोचते,कार्तिक कृष्ण चतुर्दशी; भगवान श्रीकृष्ण ने नरकासुर का वध किया; तड़के उबटन (तिल के तेल और हल्दी का लेप) लगाकर अभ्यंग स्नान किया जाता है और फिर चौदह दीये जलाए जाते हैं; महाराष्ट्रीय फराल (त्योहारी पकवान) की तैयारी आज चरम पर होती है,Apply the traditional Abhyangasnan ubtan (sesame oil; turmeric and gram flour paste) before the pre-dawn bath; use a copper or brass vessel to warm the water — this is the auspicious Abhyangasnan tradition in Maharashtra,पहाटेच्या स्नानापूर्वी पारंपरिक अभ्यंगस्नानाचे उटणे (तीळतेल; हळद आणि बेसनाचा लेप) लावा; पाणी तांब्याच्या किंवा पितळेच्या भांड्यात तापवा — हीच महाराष्ट्रातील शुभ अभ्यंगस्नान परंपरा आहे,तड़के के स्नान से पहले पारंपरिक अभ्यंग स्नान का उबटन (तिल का तेल; हल्दी और बेसन का लेप) लगाएं; पानी तांबे या पीतल के बर्तन में गर्म करें — यही महाराष्ट्र की शुभ अभ्यंग स्नान परंपरा है
Diwali,2026-11-08,Kartik Krishna Amavasya; the Festival of Lights; Goddess Lakshmi is worshipped during the darkest lunar night; the full Maharashtrian Faral — Chakli; Karanji; Besan Ladoo; Anarse; Shankarpali and Chivda — is offered to the Goddess and distributed to guests and neighbours,कार्तिक कृष्ण अमावास्या; दिव्यांचा सण; वर्षातील सर्वात अंधाऱ्या रात्री लक्ष्मीदेवीची पूजा केली जाते; संपूर्ण महाराष्ट्रीय फराळ — चकली; करंजी; बेसन लाडू; अनारसे; शंकरपाळी आणि चिवडा — देवीला अर्पण करून पाहुण्यांना आणि शेजाऱ्यांना वाटला जातो,कार्तिक कृष्ण अमावस्या; रोशनी का त्योहार; वर्ष की सबसे अंधेरी रात में लक्ष्मी देवी की पूजा की जाती है; संपूर्ण महाराष्ट्रीय फराल — चकली; करंजी; बेसन लड्डू; अनारसे; शंकरपाली और चिवड़ा — देवी को अर्पित कर मेहमानों और पड़ोसियों में बांटा जाता है,Prepare Faral in this order over 3-5 days: Anarse first (they need 3 days soaking); then Karanji filling; Chakli dough on Day -1; fry Chakli fresh on Diwali morning for maximum crunch throughout the day,फराळ तीन ते पाच दिवसांत या क्रमाने करा: आधी अनारसे (त्यांना तीन दिवस भिजवावे लागते); मग करंजीचे सारण; आदल्या दिवशी चकलीची भाजणी; आणि दिवाळीच्या सकाळी चकली ताजी तळा म्हणजे दिवसभर कुरकुरीत राहते,फराल तीन से पांच दिनों में इस क्रम में बनाएं: पहले अनारसे (उन्हें तीन दिन भिगोना पड़ता है); फिर करंजी का भरावन; एक दिन पहले चकली का आटा; और दिवाली की सुबह चकली ताजी तलें ताकि दिनभर कुरकुरी रहे
Bali Pratipada,2026-11-09,Kartik Shukla Pratipada; King Bali's annual return to earth is celebrated and Lord Vishnu's Vamana form is worshipped; in Maharashtra this is Diwali Padwa — couples celebrate their bond and husbands gift wives; the traditional morning dish is Pohe-Gul (poha with jaggery),कार्तिक शुक्ल प्रतिपदा; बळीराजाच्या वार्षिक पृथ्वीभेटीचा उत्सव साजरा होतो आणि भगवान विष्णूच्या वामन रूपाची पूजा केली जाते; महाराष्ट्रात हा दिवाळी पाडवा — पती-पत्नी आपल्या नात्याचा उत्सव साजरा करतात आणि पती पत्नीला ओवाळणी देतो; सकाळचा पारंपरिक पदार्थ म्हणजे पोहे-गूळ,कार्तिक शुक्ल प्रतिपदा; राजा बलि की वार्षिक पृथ्वी यात्रा का उत्सव मनाया जाता है और भगवान विष्णु के वामन रूप की पूजा की जाती है; महाराष्ट्र में यह दिवाली पाडवा है — पति-पत्नी अपने संबंध का उत्सव मनाते हैं और पति पत्नी को उपहार देता है; सुबह का पारंपरिक व्यंजन है पोहे-गुड़,Soak poha for 2 minutes and fluff before mixing with melted jaggery-ghee and fresh coconut for the first Diwali Padwa breakfast; serve immediately as Pohe-Gul does not hold well once dressed,दिवाळी पाडव्याच्या पहिल्या न्याहारीसाठी पोहे दोन मिनिटे भिजवून मोकळे करा आणि मग वितळलेला गूळ-तूप व ताजे खोबरे मिसळा; पोहे-गूळ मिसळल्यावर लगेच खावा कारण तो जास्त वेळ चांगला राहत नाही,दिवाली पाडवा के पहले नाश्ते के लिए पोहे दो मिनट भिगोकर फुला लें और फिर पिघला गुड़-घी व ताजा नारियल मिलाएं; पोहे-गुड़ मिलाते ही तुरंत परोसें क्योंकि वह देर तक अच्छा नहीं रहता
Bhau Beej,2026-11-10,Kartik Shukla Dwitiya; sisters perform aarti and feed brothers their favourite home-cooked meal; brothers give gifts; in Maharashtra the Bhau Beej spread is the most elaborate home cooking of the Diwali season with Basundi as the centrepiece dessert,कार्तिक शुक्ल द्वितीया; बहिणी भावाला ओवाळून त्याच्या आवडीचा घरचा स्वयंपाक वाढतात; भाऊ ओवाळणी देतो; महाराष्ट्रात भाऊबीजेचा बेत हा दिवाळीतील सर्वात विस्तृत घरगुती स्वयंपाक असतो आणि बासुंदी हा त्यातील मुख्य गोड पदार्थ,कार्तिक शुक्ल द्वितीया; बहनें भाई की आरती कर उसका मनपसंद घर का बना भोजन खिलाती हैं; भाई उपहार देते हैं; महाराष्ट्र में भाऊबीज का भोजन दिवाली का सबसे विस्तृत घरेलू पकवान होता है और बासुंदी उसका मुख्य मिष्ठान्न है,For Bhau Beej Basundi reduce full-cream milk stirring continuously on medium flame until it reduces by one-third; add saffron soaked in warm milk; cardamom and dry fruits at the very end — never at the start or they will overpower the flavour,भाऊबीजेच्या बासुंदीसाठी फुल क्रीम दूध मध्यम आचेवर सतत ढवळत एक तृतीयांश आटवा; कोमट दुधात भिजवलेले केशर; वेलची आणि सुकामेवा अगदी शेवटी घाला — सुरुवातीलाच घातल्यास त्यांचा वास चवीवर मात करतो,भाऊबीज की बासुंदी के लिए फुल क्रीम दूध मध्यम आंच पर लगातार चलाते हुए एक तिहाई तक गाढ़ा करें; गुनगुने दूध में भिगोया केसर; इलायची और मेवे बिल्कुल अंत में डालें — शुरू में डालने पर उनकी महक स्वाद पर हावी हो जाती है
Devutthana Ekadashi,2026-11-20,Kartik Shukla Ekadashi; Lord Vishnu wakes from Yoga Nidra ending Chaturmas; the second Pandharpur Wari (Kartiki) pilgrimage arrives; the 4-month pause on auspicious events like marriages and griha pravesh formally ends today; one of the two holiest Ekadashis in Maharashtra alongside Ashadhi,कार्तिक शुक्ल एकादशी; भगवान विष्णू योगनिद्रेतून जागे होतात आणि चातुर्मास संपतो; कार्तिकी पंढरपूर वारी याच दिवशी पोहोचते; लग्न आणि गृहप्रवेशासारख्या मंगलकार्यांवरील चार महिन्यांची स्थगिती आजपासून औपचारिकरीत्या संपते; आषाढीसह महाराष्ट्रातील दोन सर्वात पवित्र एकादशींपैकी एक,कार्तिक शुक्ल एकादशी; भगवान विष्णु योगनिद्रा से जागते हैं और चातुर्मास समाप्त होता है; कार्तिकी पंढरपुर वारी इसी दिन पहुंचती है; विवाह और गृह प्रवेश जैसे मांगलिक कार्यों पर लगी चार महीने की रोक आज औपचारिक रूप से समाप्त होती है; आषाढ़ी के साथ महाराष्ट्र की दो सबसे पवित्र एकादशियों में से एक,The tradition of offering freshly cut sugarcane to Tulsi on Devutthana Ekadashi means buying fresh sugarcane that morning; prepare the Tulsi Vivah prasad (panchkhadya) one day ahead for the following day's ceremony,देवउठनी एकादशीला तुळशीला ताजा कापलेला ऊस अर्पण करण्याची परंपरा असल्याने ऊस त्याच सकाळी ताजा आणा; दुसऱ्या दिवशीच्या तुळशी विवाहासाठी पंचखाद्य एक दिवस आधीच करून ठेवा,देवउठनी एकादशी पर तुलसी को ताजा कटा गन्ना अर्पित करने की परंपरा है इसलिए गन्ना उसी सुबह ताजा लाएं; अगले दिन के तुलसी विवाह के लिए पंचखाद्य एक दिन पहले ही बनाकर रखें
Tulsi Vivah,2026-11-21,Kartik Shukla Dwadashi; the ceremonial wedding of the Tulsi plant (Goddess Lakshmi) with Shaligram (Lord Vishnu); performed the day after Devutthana Ekadashi; marks the formal start of the Hindu wedding season; sugarcane and amla are used as ceremonial decor and offerings,कार्तिक शुक्ल द्वादशी; तुळशीचे (लक्ष्मीदेवी) शाळिग्रामाशी (भगवान विष्णू) विधिवत लग्न लावले जाते; देवउठनी एकादशीच्या दुसऱ्या दिवशी हा विधी होतो; यापासून हिंदू लग्नसराईची औपचारिक सुरुवात होते; ऊस आणि आवळा सजावट व नैवेद्यासाठी वापरले जातात,कार्तिक शुक्ल द्वादशी; तुलसी (लक्ष्मी देवी) का शालिग्राम (भगवान विष्णु) से विधिवत विवाह कराया जाता है; देवउठनी एकादशी के अगले दिन यह अनुष्ठान होता है; इससे हिंदू विवाह काल की औपचारिक शुरुआत होती है; गन्ना और आंवला सजावट तथा नैवेद्य के लिए उपयोग किए जाते हैं,Decorate the Tulsi Vrindavan with fresh sugarcane sticks and marigold flowers; prepare panchkhadya (soaked poha; jaggery; coconut; peanut; sesame) fresh on the morning of the ceremony as it is best served immediately,तुळशी वृंदावन ताज्या उसाच्या कांड्या आणि झेंडूच्या फुलांनी सजवा; पंचखाद्य (भिजवलेले पोहे; गूळ; खोबरे; शेंगदाणे; तीळ) विधीच्या सकाळीच ताजे करा कारण ते लगेच वाढल्यास उत्तम लागते,तुलसी वृंदावन ताजे गन्ने की डंडियों और गेंदे के फूलों से सजाएं; पंचखाद्य (भिगोए पोहे; गुड़; नारियल; मूंगफली; तिल) अनुष्ठान की सुबह ही ताजा बनाएं क्योंकि तुरंत परोसने पर वह सबसे अच्छा लगता है
Kartik Pournima,2026-11-30,Kartik Purnima; Lord Shiva destroyed the three demon cities (Tripurasura Vadha); the most sacred day of the sacred Kartik month; river bathing (snan); floating ghee lamps (deepotsav) and prasad distribution are traditional Maharashtrian observances on this night,कार्तिक पौर्णिमा; भगवान शंकरांनी त्रिपुरासुराच्या तीन नगरींचा नाश केला; पवित्र कार्तिक महिन्यातील सर्वात पवित्र दिवस; नदीस्नान; तुपाचे दिवे सोडणे (दीपोत्सव) आणि प्रसादवाटप या महाराष्ट्रीय परंपरा या रात्री पाळल्या जातात,कार्तिक पूर्णिमा; भगवान शिव ने त्रिपुरासुर की तीन नगरियों का नाश किया; पवित्र कार्तिक मास का सबसे पवित्र दिन; नदी स्नान; घी के दीप प्रवाहित करना (दीपोत्सव) और प्रसाद वितरण इस रात की महाराष्ट्रीय परंपराएं हैं,Float ghee diyas (clay lamps filled with ghee) in a vessel of water placed under the open sky after evening puja on Tripuri Pournima; the reflections create a symbolic river of light — a deeply Maharashtrian tradition for this night,त्रिपुरी पौर्णिमेला संध्याकाळच्या पूजेनंतर उघड्या आकाशाखाली ठेवलेल्या पाण्याच्या भांड्यात तुपाच्या पणत्या सोडा; त्यांच्या प्रतिबिंबांनी प्रकाशाची नदी तयार होते — या रात्रीची ही खोलवर रुजलेली महाराष्ट्रीय परंपरा आहे,त्रिपुरी पूर्णिमा पर संध्या पूजा के बाद खुले आकाश के नीचे रखे पानी के बर्तन में घी से भरे मिट्टी के दीये तैराएं; उनके प्रतिबिंबों से प्रकाश की नदी बनती है — इस रात की यह गहरी महाराष्ट्रीय परंपरा है
Sankashti Chaturthi,2026-12-01,Margashirsha Krishna Chaturthi; Sankashti in Margashirsha — the month Lord Krishna declares as Himself in the Bhagavad Gita — makes this Ganesha fast especially spiritually rich; a warm upvas meal is appropriate in the winter season,मार्गशीर्ष कृष्ण चतुर्थी; भगवद्गीतेत ज्या महिन्याला श्रीकृष्णाने स्वतःचे रूप म्हटले आहे त्या मार्गशीर्षातील ही संकष्टी आध्यात्मिकदृष्ट्या विशेष फलदायी ठरते; थंडीच्या दिवसांत उपवासाचे गरम जेवण योग्य ठरते,मार्गशीर्ष कृष्ण चतुर्थी; भगवद्गीता में जिस मास को श्रीकृष्ण ने स्वयं का स्वरूप कहा है उस मार्गशीर्ष की यह संकष्टी आध्यात्मिक रूप से विशेष फलदायी होती है; सर्दी के दिनों में उपवास का गर्म भोजन उपयुक्त रहता है,The winter Margashirsha Sankashti calls for warm phalahari foods; serve sabudana khichdi topped with a generous spoon of ghee after moonrise — the warmth and richness makes the post-fast prasad meal deeply satisfying,हिवाळ्यातील मार्गशीर्ष संकष्टीला गरम फराळी पदार्थ योग्य ठरतात; चंद्रोदयानंतर साबुदाणा खिचडीवर भरपूर तूप घालून वाढा — उष्णता आणि तुपाच्या समृद्धीमुळे उपवास सोडतानाचा प्रसाद अधिक तृप्त करतो,सर्दियों की मार्गशीर्ष संकष्टी पर गर्म फलाहारी पदार्थ उपयुक्त रहते हैं; चंद्रोदय के बाद साबूदाना खिचड़ी पर भरपूर घी डालकर परोसें — गर्माहट और घी की समृद्धि से व्रत खोलने का प्रसाद अधिक तृप्तिदायक बनता है
Utpanna Ekadashi,2026-12-05,Margashirsha Krishna Ekadashi; the day the Ekadashi deity was born to defeat the demon Murasura; this is the most foundational Ekadashi of the year representing the origin of all Ekadashi vrats; fasting grants liberation to one's ancestors,मार्गशीर्ष कृष्ण एकादशी; मुरासुराचा वध करण्यासाठी एकादशी देवीचा जन्म झाला तो हा दिवस; सर्व एकादशी व्रतांचे मूळ मानली जाणारी ही वर्षातील सर्वात पायाभूत एकादशी; या उपवासाने पूर्वजांना मुक्ती मिळते,मार्गशीर्ष कृष्ण एकादशी; मुरासुर के वध हेतु एकादशी देवी का जन्म इसी दिन हुआ; सभी एकादशी व्रतों का मूल मानी जाने वाली यह वर्ष की सबसे आधारभूत एकादशी है; इस व्रत से पूर्वजों को मुक्ति मिलती है,On winter Ekadashi days serve sabudana vada with warm peanut chutney; peanut provides sustained energy through the long cold-season fast and the warm chutney makes the upvas meal comforting,हिवाळ्यातील एकादशीला साबुदाणा वडा गरम शेंगदाण्याच्या चटणीसोबत वाढा; शेंगदाण्यामुळे थंडीतील लांब उपवासात टिकाऊ ऊर्जा मिळते आणि गरम चटणीने उपवासाचे जेवण सुखावह होते,सर्दियों की एकादशी पर साबूदाना वड़ा गर्म मूंगफली की चटनी के साथ परोसें; मूंगफली से ठंड के लंबे व्रत में टिकाऊ ऊर्जा मिलती है और गर्म चटनी से उपवास का भोजन सुखद बनता है
Champa Shashthi,2026-12-15,Margashirsha Shukla Shashthi; celebrates Lord Khandoba's (Shiva's warrior avatar) victory over demons Malla and Mani after a 6-day battle; Jejuri in Pune is the epicentre of celebration; turmeric (bhandara) is showered on devotees; a uniquely and exclusively Maharashtrian festival,मार्गशीर्ष शुक्ल षष्ठी; सहा दिवसांच्या युद्धानंतर मल्ल आणि मणी या दैत्यांवर खंडोबाने (शिवाचा योद्धा अवतार) मिळवलेल्या विजयाचा उत्सव; पुण्याजवळील जेजुरी हे उत्सवाचे मुख्य केंद्र; भक्तांवर भंडारा (हळद) उधळला जातो; केवळ महाराष्ट्रापुरता मर्यादित असा वैशिष्ट्यपूर्ण सण,मार्गशीर्ष शुक्ल षष्ठी; छह दिनों के युद्ध के बाद मल्ल और मणि दैत्यों पर खंडोबा (शिव के योद्धा अवतार) की विजय का उत्सव; पुणे के पास जेजुरी उत्सव का मुख्य केंद्र है; भक्तों पर भंडारा (हल्दी) उड़ाया जाता है; केवल महाराष्ट्र तक सीमित एक विशिष्ट त्योहार,Roast brinjal directly on an open flame turning often until the skin is fully charred; peel while still hot and mash with roasted garlic for authentic smoky Champa Shashthi vangi bharta — this is the festive bhog of Khandoba,वांगे थेट ज्योतीवर वारंवार फिरवत साल पूर्ण करपेपर्यंत भाजा; गरम असतानाच साल काढून भाजलेल्या लसणासोबत कुस्करा — असे केल्यास चंपाषष्ठीचे अस्सल धुरकट वांग्याचे भरीत होते; हाच खंडोबाचा सणाचा नैवेद्य,बैंगन सीधे आंच पर बार-बार घुमाते हुए छिलका पूरी तरह जलने तक भूनें; गर्म रहते ही छिलका उतारकर भुने लहसुन के साथ मसलें — इससे चंपा षष्ठी का असली धुएंदार बैंगन भरता बनता है; यही खंडोबा का पर्व नैवेद्य है
Mokshada Ekadashi,2026-12-20,Margashirsha Shukla Ekadashi; Lord Krishna delivered the Bhagavad Gita to Arjuna on this day (Gita Jayanti); fasting grants liberation to one's ancestors; Gita recitation and satsang are traditional in Maharashtrian households on this evening,मार्गशीर्ष शुक्ल एकादशी; याच दिवशी भगवान श्रीकृष्णांनी अर्जुनाला भगवद्गीता सांगितली (गीता जयंती); या उपवासाने पूर्वजांना मोक्ष मिळतो; महाराष्ट्रीय घरांत या संध्याकाळी गीतापठण आणि सत्संगाची परंपरा आहे,मार्गशीर्ष शुक्ल एकादशी; इसी दिन भगवान श्रीकृष्ण ने अर्जुन को भगवद्गीता सुनाई (गीता जयंती); इस व्रत से पूर्वजों को मोक्ष मिलता है; महाराष्ट्रीय घरों में इस संध्या गीता पाठ और सत्संग की परंपरा है,Begin Mokshada Ekadashi morning by reading one shloka from the Bhagavad Gita (even just Chapter 2 verse 47) before cooking the upvas meal; even this brief recitation is considered to elevate the spiritual merit of the fast,मोक्षदा एकादशीच्या सकाळी उपवासाचा स्वयंपाक सुरू करण्यापूर्वी भगवद्गीतेतील एक श्लोक वाचा (अगदी दुसऱ्या अध्यायातील सत्तेचाळिसावा श्लोक असला तरी पुरे); एवढ्या छोट्या पठणानेही उपवासाचे पुण्य वाढते असे मानले जाते,मोक्षदा एकादशी की सुबह उपवास का भोजन बनाने से पहले भगवद्गीता का एक श्लोक पढ़ें (केवल दूसरे अध्याय का सैंतालीसवां श्लोक भी पर्याप्त है); इतने संक्षिप्त पाठ से भी व्रत का पुण्य बढ़ता है ऐसा माना जाता है
Datta Jayanti,2026-12-23,Margashirsha Purnima; birthday of Lord Dattatreya (the Trimurti incarnation of Brahma-Vishnu-Shiva); a major festival in Maharashtra; Ganagapur and other Datta shrines hold week-long celebrations; offering 32 types of fruit and fasting are traditional for Dattatreya devotees,मार्गशीर्ष पौर्णिमा; भगवान दत्तात्रेयांचा (ब्रह्मा-विष्णू-महेश यांचा त्रिमूर्ती अवतार) जन्मदिवस; महाराष्ट्रातील एक मोठा उत्सव; गाणगापूर आणि इतर दत्तक्षेत्रांत आठवडाभर उत्सव चालतो; दत्तभक्त बत्तीस प्रकारची फळे अर्पण करून उपवास करतात,मार्गशीर्ष पूर्णिमा; भगवान दत्तात्रेय (ब्रह्मा-विष्णु-महेश के त्रिमूर्ति अवतार) का जन्मदिन; महाराष्ट्र का एक प्रमुख उत्सव; गाणगापुर और अन्य दत्त क्षेत्रों में सप्ताहभर उत्सव चलता है; दत्त भक्त बत्तीस प्रकार के फल अर्पित कर उपवास रखते हैं,Prepare kheerni (thick milk and rice sweet) the evening before Datta Jayanti and refrigerate; serve at room temperature the next morning as the traditional prasad; overnight resting deepens the flavour beautifully,दत्त जयंतीच्या आदल्या संध्याकाळी खिरणी (घट्ट दूध-तांदळाचा गोड पदार्थ) करून फ्रिजमध्ये ठेवा; दुसऱ्या दिवशी सकाळी खोलीच्या तापमानाला पारंपरिक प्रसाद म्हणून वाढा; रात्रभर मुरल्याने चव अधिक खुलते,दत्त जयंती की एक शाम पहले खीरनी (गाढ़ा दूध-चावल का मीठा पकवान) बनाकर फ्रिज में रखें; अगली सुबह कमरे के तापमान पर पारंपरिक प्रसाद के रूप में परोसें; रातभर रखने से स्वाद और गहरा हो जाता है
Pradosh Vrat,2026-12-29,Margashirsha Shukla Trayodashi; the last major Pradosh of the year falling in the holy Margashirsha month; a year-end Shiva puja of gratitude on this Pradosh is a meaningful spiritual conclusion to the entire devotional calendar,मार्गशीर्ष शुक्ल त्रयोदशी; पवित्र मार्गशीर्ष महिन्यात येणारा वर्षातील शेवटचा मोठा प्रदोष; या प्रदोषाला कृतज्ञतेची वर्षअखेरची शिवपूजा हा संपूर्ण भक्तिवर्षाचा अर्थपूर्ण समारोप ठरतो,मार्गशीर्ष शुक्ल त्रयोदशी; पवित्र मार्गशीर्ष मास में आने वाला वर्ष का अंतिम बड़ा प्रदोष; इस प्रदोष पर कृतज्ञता की वर्षांत शिव पूजा संपूर्ण भक्ति वर्ष का सार्थक समापन बनती है,On this year-end Pradosh offer 11 sets of three bael leaves each (33 leaves total) to the Shivlinga as a gratitude offering for the year; light a ghee lamp and maintain silence during the full twilight puja window,वर्षअखेरच्या या प्रदोषाला शिवलिंगावर तीन-तीन बेलपत्रांचे अकरा जुडगे (एकूण तेहतीस पाने) कृतज्ञतेचा नैवेद्य म्हणून वाहा; तुपाचा दिवा लावा आणि प्रदोषकाळाच्या संपूर्ण पूजेत मौन पाळा,वर्षांत के इस प्रदोष पर शिवलिंग पर तीन-तीन बेलपत्रों के ग्यारह समूह (कुल तैंतीस पत्ते) कृतज्ञता के नैवेद्य के रूप में अर्पित करें; घी का दीपक जलाएं और प्रदोष काल की पूरी पूजा में मौन रखें
Mahashivratri,Feb 15,Major Fasting day,मोठा उपवासाचा दिवस,बड़ा व्रत का दिन,Soak sabudana overnight for fluffy texture,मोकळ्या साबुदाण्यासाठी रात्रभर भिजवा,खिले-खिले साबूदाने के लिए रातभर भिगोएं
Makar Sankranti,Jan 14,Til-Gul interchange,तिळगूळ देवाणघेवाण,तिल-गुड़ का आदान-प्रदान,Make tilgul ladoos a day before for best taste,उत्तम चवीसाठी तिळगूळ लाडू एक दिवस आधी करा,बेहतरीन स्वाद के लिए तिलगुड़ लड्डू एक दिन पहले बनाएं
Gudi Padwa,March 19,Marathi New Year,मराठी नववर्ष,मराठी नववर्ष,Hang curd overnight for thick shrikhand,घट्ट श्रीखंडासाठी दही रात्रभर टांगून ठेवा,गाढ़े श्रीखंड के लिए दही को रातभर टांगकर रखें
Holi (Shimga),March 4,Puran Poli / Sweets,पुरणपोळी आणि गोडधोड,पूरन पोली और मिठाई,Start puran poli prep a day early,पुरणपोळीची तयारी एक दिवस आधी सुरू करा,पूरन पोली की तैयारी एक दिन पहले शुरू करें
Ram Navami,April 6,Chaitra Shukla Navami; birthday of Lord Rama; the nine-day Chaitra Navratri concludes on this day; Ramayana recitation and the Rama Janma aarti at noon are traditional; a fast is observed until the midday birth hour,चैत्र शुक्ल नवमी; प्रभू श्रीरामांचा जन्मदिवस; नऊ दिवसांच्या चैत्र नवरात्रीची सांगता याच दिवशी होते; रामायण पठण आणि दुपारी रामजन्माची आरती ही परंपरा आहे; दुपारच्या जन्मवेळेपर्यंत उपवास केला जातो,चैत्र शुक्ल नवमी; प्रभु श्रीराम का जन्मदिन; नौ दिनों की चैत्र नवरात्रि का समापन इसी दिन होता है; रामायण पाठ और दोपहर में रामजन्म की आरती परंपरा है; दोपहर के जन्म समय तक उपवास किया जाता है,Sunthawada (dry ginger with jaggery) and kairi panhe (raw mango drink) are the traditional Ram Navami prasad in Maharashtra; boil the raw mangoes a day ahead and chill the panhe overnight so it is ready for the noon aarti,सुंठवडा आणि कैरीचे पन्हे हा महाराष्ट्रातील रामनवमीचा पारंपरिक प्रसाद; कैऱ्या आदल्या दिवशी उकडून पन्हे रात्रभर थंड करा म्हणजे दुपारच्या आरतीला ते तयार असेल,सुंठवड़ा (सोंठ और गुड़) और कैरी का पन्हा महाराष्ट्र में रामनवमी का पारंपरिक प्रसाद है; कैरियां एक दिन पहले उबालकर पन्हा रातभर ठंडा करें ताकि दोपहर की आरती के समय वह तैयार हो
